University,Location,Mission,Tuition,TuitionIS,UndergradEnroll,Choice
Adrian College,"Adrian, MI","Adrian College, a liberal arts College in the United Methodist tradition, is committed to the pursuit of truth and to the dignity of all people.  Through active and creative learning in a supportive community, students are challenged to achieve excellence in their academic, personal, and professional lives, and to contribute to a more socially just society.",48906,32810,485,1
Alcorn State University,"Alcorn State, MS","Alcorn State University, a Historically Black College and University, is a comprehensive land-grant institution that celebrates a rich heritage with a diverse student and faculty population. The University emphasizes intellectual development and lifelong learning through the integration of diverse pedagogies, applied and basic research, cultural and professional programs, public service and outreach, while providing access to globally competitive academic and research programs. Alcorn strives to prepare graduates to be well-rounded future leaders of high character and to be successful in the global marketplace of the 21st century.",22036,5109,626,0
Aquinas College,"Grand Rapids, MI","Aquinas College, an inclusive educational community rooted in the Catholic and Dominican tradition, provides a liberal arts education with a global perspective, emphasizes career preparation focused on leadership and service to others, and fosters a commitment to lifelong learning dedicated to the pursuit of truth and the common good.",39934,28426,361,1
Arkansas State University-Beebe,"Beebe, AR",Transforming lives through quality learning experiences.,13026,2304,615,0
Arkansas State University-Main Campus,"Jonesboro, AR","Arkansas State educates leaders, enhances intellectual growth, and enriches lives.",22103,6000,1488,0
Averett University,"Danville, VA","Averett University prepares students to serve and lead as catalysts for positive change. Averett fulfills this mission by educating students from diverse backgrounds, cultures, and nations through liberal arts based undergraduate and graduate programs in a personal, collegial, interdisciplinary environment.",42940,30900,254,0
Baker University,"Baldwin City, KS","Baker University is committed to assuring student learning and developing confident, competent and responsible contributors to society.",41340,26730,164,0
Baldwin Wallace University,"Berea, OH","Baldwin Wallace University is an academic community committed to the liberal arts and sciences as the foundation for lifelong learning. The University fulfills this mission through a rigorous academic program that is characterized by excellence in teaching and learning within a challenging, supportive environment that enhances students' intellectual and spiritual growth. Baldwin Wallace assists students in their preparation to become contributing, compassionate citizens of an increasingly global society and encourages their pursuit of personal and professional excellence.",43332,29908,759,0
Baptist Bible College,"Springfield, MO","Baptist Bible College is an institution of biblical higher education that exists to provide a Christ-centered curriculum that fosters a biblical worldview, empowering students to engage and impact their global society.",20084,9324,89,0
Baptist University of the Americas,"San Antonio, TX","The mission of Baptist University of the Américas, as an institution of higher education, is the formation, from the Hispanic context, of cross-cultural Christian leaders.",16570,6300,30,0
Beacon College,"Leesburg, FL",The mission of Beacon College is to offer academic degree programs to students with learning disabilities and/or attention deficit hyperactivity disorder (ADHD).,51790,34680,58,0
Bellevue University,"Bellevue, NE","Bellevue University effectively engages students in earning awards and degrees that prepare them to thrive in a connected, competitive world. We provide motivated students a powerful foundation for personal value creation, instilling the confidence they need to take control of their lives and be responsible citizens of the global community.  We teach the value of a free market, capitalist economic system and the importance of preserving our American heritage of a democratic and free way of life.",17385,6600,64,0
Bennington College,"Bennington, VT","Bennington regards education as a sensual and ethical, no less than an intellectual, process. It seeks to liberate and nurture the individuality, the creative intelligence, and the ethical and aesthetic sensibility of its students, to the end that their richly varied natural endowments will be directed toward self-fulfillment and toward constructive social purposes. We believe that these educational goals are best served by demanding of our students active participation in the planning of their own programs, and in the regulation of their own lives on campus. Student freedom is not the absence of restraint, however; it is rather the fullest possible substitution of habits of self-restraint for restraint imposed by others. The exercise of student freedom is the very condition of a meaningful education, and an essential aspect of the nurture of free citizens, dedicated to civilized values and capable of creative and constructive membership in modern society.",66120,47590,184,1
Bethany College,"Bethany, WV","Teaching and learning form the mission of Bethany College. Central to this broad purpose is providing a liberal arts education for students, including the preparation of professionals, in an atmosphere of study, work, and service.",40100,25580,214,1
Bloomsburg University of Pennsylvania,"Bloomsburg, PA",Bloomsburg University of Pennsylvania is an inclusive comprehensive public university that prepares students for personal and professional success in an increasingly complex global environment.,22604,7060,2102,0
Blue Mountain College,"Blue Mountain, MS","Blue Mountain College assists students in developing intellectual integrity, academic excellence, civility, and Christian character.",20152,9518,54,0
Brevard College,"Brevard, NC","Brevard College is committed to an experiential liberal arts education that encourages personal growth and inspires artistic, intellectual, and social action.",39640,26750,242,0
Brown University,"Providence, RI","The mission of Brown University is to serve the community, the nation, and the world by discovering, communicating, and preserving knowledge and understanding in a spirit of free inquiry, and by educating and preparing students to discharge the offices of life with usefulness and reputation. We do this through a partnership of students and teachers in a unified community known as a university-college.",65380,48272,1373,0
Cairn University-Langhorne,"Langhorne, PA","Cairn University exists to educate students to serve Christ in the church, society, and the world as biblically minded, well-educated, and professionally competent men and women of character.",36200,23710,158,0
