University,Location,Mission,Tuition,TuitionIS,UndergradEnroll,Choice
Adrian College,"Adrian, MI","Adrian College, a liberal arts College in the United Methodist tradition, is committed to the pursuit of truth and to the dignity of all people.  Through active and creative learning in a supportive community, students are challenged to achieve excellence in their academic, personal, and professional lives, and to contribute to a more socially just society.",52074,35060,507,0
Andrew College,"Cuthbert, GA","Andrew College-the United Methodist beacon of educational, spiritual, and cultural uplift to Southwest Georgia since 1854-prepares students for lives of servant leadership and purpose through higher education that is relevant to its region and beyond.",35621,16560,114,0
Antioch College,"Yellow Springs, OH","The mission of Antioch College is to provide a rigorous liberal arts education on the belief that scholarship and life experience are strengthened when linked, that diversity in all its manifestations is a fundamental component of excellence in education, and that authentic social and community engagement is vital for those who strive to win victories for humanity.",52628,34568,19,0
Aquinas College,"Grand Rapids, MI","Aquinas College, an inclusive educational community rooted in the Catholic and Dominican tradition, provides a liberal arts education with a global perspective, emphasizes career preparation focused on leadership and service to others, and fosters a commitment to lifelong learning dedicated to the pursuit of truth and the common good.",42952,30746,305,0
Arkansas State University-Beebe,"Beebe, AR",Transforming lives through quality learning experiences.,13262,2400,821,1
Arkansas State University-Main Campus,"Jonesboro, AR","Arkansas State educates leaders, enhances intellectual growth, and enriches lives.",22486,6300,1394,1
Auburn University at Montgomery,"Montgomery, AL","The mission of Auburn University at Montgomery is to provide quality and diverse educational opportunities at the undergraduate and graduate levels through use of traditional and electronic delivery systems, and to foster and support an environment conducive to teaching, research, scholarship, and collaboration with government agencies, our community, and other educational institutions.",19790,7320,616,0
Augustana College,"Rock Island, IL","Augustana College, rooted in the liberal arts and sciences and a Lutheran expression of the Christian faith, is committed to offering a challenging education that develops qualities of mind, spirit and body necessary for a rewarding life of leadership and service in a diverse and changing world.",53422,39690,649,0
Averett University,"Danville, VA","Averett University prepares students to serve and lead as catalysts for positive change. Averett fulfills this mission by educating students from diverse backgrounds, cultures, and nations through liberal arts-based undergraduate and graduate programs in a personal, collegial, interdisciplinary environment.",46344,33350,260,0
Baker University,"Baldwin City, KS","Baker University is committed to assuring student learning and developing confident, competent and responsible contributors to society.",43444,28430,252,0
Baldwin Wallace University,"Berea, OH","Baldwin Wallace University is an academic community committed to the liberal arts and sciences as the foundation for lifelong learning. The University fulfills this mission through a rigorous academic program that is characterized by excellence in teaching and learning within a challenging, supportive environment that enhances students' intellectual and spiritual growth. Baldwin Wallace assists students in their preparation to become contributing, compassionate citizens of an increasingly global society and encourages their pursuit of personal and professional excellence.",46004,31668,683,0
Baptist Missionary Association Theological Seminary,"Jacksonville, TX","""The purpose of the Seminary's divisions of undergraduate and graduate studies is to provide accredited undergraduate and graduate theological education for equipping individuals for Christian service and leadership roles; to support the educational needs of the churches and agencies of the Baptist Missionary Association of America and other groups who share a like commitment to the authority of Scripture; and to serve as a resource center for critical thought and research in a context which nurtures the historical, doctrinal character of the churches of the Baptist Missionary Association of America.""",15100,5700,3,0
Beacon College,"Leesburg, FL","Beacon College is an accredited liberal arts institution of higher education, which uniquely serves the educational needs of students with learning disabilities, Attention Deficit Hyperactivity Disorder, and other learning differences.",55958,37788,81,0
Bellevue University,"Bellevue, NE","Bellevue University effectively engages students in earning awards and degrees that prepare them to thrive in a connected, competitive world. We provide motivated students a powerful foundation for personal value creation, instilling the confidence they need to take control of their lives and be responsible citizens of the global community.  We teach the value of a free market, capitalist economic system and the importance of preserving our American heritage of a democratic and free way of life.",20334,7152,48,0
Benedictine University,"Lisle, IL","Mission Statement  Benedictine University is an inclusive academic community dedicated to teaching and learning, scholarship and service, truth and justice, as inspired by the Catholic intellectual tradition, the social teaching of the Church, and the principles of wisdom in the Rule of St. Benedict.",48016,31289,423,0
Bethany College,"Lindsborg, KS","The mission of Bethany College is to educate, develop, and challenge individuals to reach for truth and excellence as they lead lives of faith, learning and service.",42963,26172,267,0
Bloomfield College,"Bloomfield, NJ","To prepare students to attain academic, personal  and professional excellence in a multicultural  and global society.",45670,29300,389,0
Blue Mountain College,"Blue Mountain, MS","Blue Mountain College assists students in developing intellectual integrity, academic excellence, civility, and Christian character.",22351,9990,124,0
Brewton-Parker College,"Mount Vernon, GA","The mission of Brewton-Parker College, a Georgia Baptist college, is to develop the whole student through the application of Biblically-centered truth to a liberal arts curriculum in a community of shared Christian values.",33059,16440,166,0
Brown University,"Providence, RI","The mission of Brown University is to serve the community, the nation, and the world by discovering, communicating, and preserving knowledge and understanding in a spirit of free inquiry, and by educating and preparing students to discharge the offices of life with usefulness and reputation. We do this through a partnership of students and teachers in a unified community known as a university-college.",71050,52231,1385,1
Cairn University-Langhorne,"Langhorne, PA","Cairn University exists to educate students to serve Christ in the church, society, and the world as biblically minded, well-educated, and professionally competent men and women of character.",39304,26193,140,1
Caldwell University,"Caldwell, NJ","Founded in 1939 by the Sisters of Saint Dominic, Caldwell University promotes intellectual, spiritual, and aesthetic growth to a diverse population and welcomes all cultures and faith traditions. Inspired by St. Dominic de Guzman and our Catholic heritage, we transform students’ lives by preparing them through the liberal arts and professional studies to think critically, pursue truth, and contribute to a just society.",50150,32250,288,1
California Institute of Technology,"Pasadena, CA","The mission of the California Institute of Technology is to expand human knowledge and benefit society through research integrated with education. We investigate the most challenging, fundamental problems in science and technology in a singularly collegial, interdisciplinary atmosphere, while educating outstanding students to become creative members of society.",68901,48111,217,0
California Lutheran University,"Thousand Oaks, CA","The mission of California Lutheran University is to educate leaders for a global society who are strong in character and judgment, confident in their identity and vocation, and committed to service and justice.",59877,40880,569,0
California State University-Channel Islands,"Camarillo, CA","Placing students at the center of the educational experience, California State University Channel Islands provides undergraduate and graduate education that facilitates learning within and across disciplines through integrative approaches, emphasizes experiential and service learning, and graduates students with multicultural and international perspectives.",28621,5742,954,0
California State University-Stanislaus,"Turlock, CA","The faculty, staff, administrators, and students of California State University, Stanislaus are committed to creating a learning environment which encourages all members of the campus community to expand their intellectual, creative, and social horizons.  We challenge one another to realize our potential, to appreciate and contribute to the enrichment of our diverse community, and to develop a passion for lifelong learning.  To facilitate this mission, we promote academic excellence in the teaching and scholarly activities of our faculty, encourage personalized student learning, foster interactions and partnerships with our surrounding communities, and provide opportunities for the intellectual, cultural, and artistic enrichment of the region.",20554,5742,1412,0
Campbellsville University,"Campbellsville, KY","Campbellsville University is a comprehensive, Christian institution that offers pre-professional, undergraduate and graduate programs. The university is dedicated to academic excellence solidly grounded in the liberal arts that fosters personal growth, integrity and professional preparation within a caring environment. The university prepares students as Christian servant leaders for life-long learning, continued scholarship, and active participation in a diverse, global society.",40146,24900,497,0
Carl Albert State College,"Poteau, OK","To provide affordable, accessible and exceptional education that fosters student success.",12491,2414,343,0
Carson-Newman University,"Jefferson City, TN",Our mission as Christian educators is to help our students reach their full potential as educated citizens and worldwide servant-leaders.,40640,26200,385,0
Central Baptist College,"Conway, AR",Central Baptist College is committed to transforming lives through education that integrates Christian faith and academic excellence in a Christ-centered environment.,26854,14250,134,0
Central Methodist University-College of Liberal Arts and Sciences,"Fayette, MO","""Central Methodist University prepares students to make a difference in the world by emphasizing academic and professional excellence, ethical leadership, and social responsibility.""",37780,23000,262,0
Chapman University,"Orange, CA","To provide personalized education of distinction that leads to inquiring, ethical and productive lives as global citizens.",69464,50210,1590,0
Cincinnati Christian University,"Cincinnati, OH","The mission of Cincinnati Christian University is Cincinnati Christian University exists to develop selfless, well-rounded leaders who follow Christ and positively impact their community, country, and world.",31998,16530,111,0
City University of Seattle,"Seattle, WA",To change lives for good by offering high quality and relevant lifelong education to anyone with the desire to learn,31480,17400,39,0
Cloud County Community College,"Concordia, KS","MISSION STATEMENT Cloud County Community College prepares students to lead successful lives and enhances the vitality of our communities. GUIDING VALUES Success Students are our central focus, and we strive to see every student succeed. “We champion individual success” Excellence We deliver forward thinking programs of study as well as industry-best practices that reflect the highest academic standards. “We are committed to excellence” Service We make a positive difference in the lives of our students, community members, and each other through meaningful relationships. “We make a difference.” Integrity We uphold the highest standards of ethics and public stewardship. “We do what is right” Diversity We encourage active citizenship and embrace the diversity of people and ideas. “We are better together” Accessibility We provide the best value for a high quality, holistic education. “We ensure every student has opportunities” Sustainability We promote renewable energy as well as sustainable lifestyles in our changing world. “We are Black, Gold, and Green.""",12534,2280,331,0
Cochise County Community College District,"Sierra Vista, AZ","Cochise College provides accessible educational opportunities that are responsive to a diverse population and lead to constructive citizenship, meaningful careers and lifelong learning.",13463,1968,619,0
Coker College,"Hartsville, SC","Coker College is a student-centered, comprehensive college.  It is dedicated to providing every student enrolled in the Day Program and in the Adult Degree Program an academic curriculum based upon a uniformly excellent liberal arts core that enhances the structured development of key personal skills.    The College's goal is to graduate students with the ability to think analytically and creatively, and to write and speak effectively.  Experiences both in and out of the classroom are focused on active student involvement and the practical application of academic knowledge that lead to lifelong learning.    Coker measures its success by the personal and professional accomplishments enjoyed by all members of the academic community.",40230,28464,207,0
Colby Community College,"Colby, KS",Challenge students to adapt to a diverse society. Create opportunities for student growth. Connect student learning with professional experiences,13869,2310,190,0
College of St Joseph,"Rutland, VT","College of St. Joseph is an independent Catholic college that educates men and women of varied faiths and backgrounds for lives of continuing personal and professional growth, intellectual development, and service to the community.",39200,23000,64,0
Commonwealth Technical Institute,"Johnstown, PA",The mission of the Commonweatlh Technical Institute at the Hiram G. Andrews Center (CTI@HGA) is to offer quality individualized post-secondary education which provides career opportunities and independent life skills.,38412,16836,91,0
Copiah-Lincoln Community College,"Wesson, MS","The mission of Copiah-Lincoln Community College is to provide educational programs, economic development services, cultural and recreational opportunities through quality instruction and high expectations and service in a safe, student-centered environment.",11230,2800,782,0
Cornerstone University,"Grand Rapids, MI",Cornerstone University exists to empower men and women to excel as influencers in our world for Christ by offering a student-focused learning community where Jesus Christ is central.,40542,27150,271,0
